CustomerID,FirstName,LastName,Age,Email,PhoneNumber,PurchaseAmount
40,Jane,Jones,35.0,user9@example.com,123-456-7890,8632.0
41,Jane,Brown,19.0,user43@example.com,123-456-7890,4924.0
42,Mike,Smith,29.0,user6@example.com,555-555-5555,534.0
43,Anna,Brown,62.0,user67@example.com,123-456-7890,8597.0
44,Lisa,Brown,47.0,user14@example.com,555-555-5555,2687.0
45,Jane,Brown,45.0,user2@example.com,123-456-7890,5966.0
46,Lisa,Johnson,34.0,user80@example.com,123-456-7890,3030.0
47,Lisa,Johnson,63.0,user97@example.com,123-456-7890,5310.0
48,Lisa,Williams,31.0,user8@example.com,555-555-5555,8015.0
49,Lisa,Smith,59.0,user4@example.com,123-456-7890,6387.0
50,Jane,Brown,46.0,user30@example.com,555-555-5555,7443.0
51,Lisa,Smith,35.0,user72@example.com,987-654-3210,9948.0
52,Lisa,Brown,60.0,user54@example.com,555-555-5555,5803.0
53,John,Smith,58.0,user83@example.com,987-654-3210,4748.0
54,John,Jones,26.0,user14@example.com,987-654-3210,5997.0
55,Tom,Smith,54.0,user98@example.com,987-654-3210,9295.0
56,John,Johnson,41.0,user7@example.com,555-555-5555,8179.0
57,Tom,Johnson,46.0,user50@example.com,123-456-7890,9674.0
58,Anna,Brown,48.0,user21@example.com,123-456-7890,651.0
59,Jane,Brown,34.0,user96@example.com,555-555-5555,209.0
60,John,Smith,50.0,user90@example.com,987-654-3210,282.0
61,Jane,Brown,36.0,user44@example.com,555-555-5555,5228.0
62,Mike,Johnson,28.0,user9@example.com,555-555-5555,8891.0
63,Jane,Brown,47.0,user55@example.com,123-456-7890,2098.0
64,Jane,Smith,26.0,user97@example.com,987-654-3210,5239.0
65,Mike,Johnson,23.0,user23@example.com,555-555-5555,9878.0
66,John,Johnson,29.0,user97@example.com,123-456-7890,8954.0
67,Anna,Smith,38.0,user7@example.com,123-456-7890,4203.0
68,Tom,Johnson,30.0,user10@example.com,987-654-3210,2583.0
69,Jane,Jones,36.0,user48@example.com,123-456-7890,8434.0
70,Mike,Jones,61.0,user43@example.com,987-654-3210,8425.0
71,Mike,Jones,29.0,user88@example.com,987-654-3210,4236.0
72,Lisa,Jones,41.0,user83@example.com,987-654-3210,837.0
73,Anna,Smith,31.0,user82@example.com,123-456-7890,8874.0
74,Lisa,Johnson,40.0,user66@example.com,123-456-7890,4432.0
75,Jane,Williams,21.0,user62@example.com,123-456-7890,4330.0
76,Anna,Jones,50.0,user22@example.com,123-456-7890,5853.0
77,Mike,Smith,36.0,user89@example.com,987-654-3210,2347.0
78,Mike,Brown,48.0,user92@example.com,987-654-3210,4046.0
79,Jane,Jones,27.0,user77@example.com,123-456-7890,9863.0
80,Anna,Smith,25.0,user40@example.com,987-654-3210,919.0
81,Lisa,Johnson,44.0,user48@example.com,987-654-3210,3139.0
82,Tom,Johnson,43.0,user38@example.com,555-555-5555,1627.0
83,John,Smith,54.0,user10@example.com,987-654-3210,5352.0
84,Tom,Johnson,23.0,user65@example.com,123-456-7890,5066.0
85,John,Johnson,40.0,user62@example.com,123-456-7890,2654.0
86,Mike,Smith,39.0,user8@example.com,555-555-5555,8164.0
87,Tom,Johnson,40.0,user54@example.com,123-456-7890,1669.0
88,Anna,Smith,23.0,user62@example.com,555-555-5555,1116.0
89,Jane,Johnson,53.0,user3@example.com,555-555-5555,4214.0
90,Anna,Jones,40.0,user78@example.com,987-654-3210,1156.0
91,John,Williams,64.0,user21@example.com,123-456-7890,5597.0
92,Lisa,Johnson,51.0,user62@example.com,987-654-3210,6481.0
93,John,Williams,38.0,user75@example.com,555-555-5555,5573.0
94,Jane,Williams,37.0,user100@example.com,123-456-7890,2161.0
95,John,Williams,19.0,user48@example.com,555-555-5555,508.0
96,Anna,Smith,,user83@example.com,987-654-3210,
97,Anna,Jones,,user92@example.com,555-555-5555,
98,Anna,Smith,,user33@example.com,987-654-3210,
99,Mike,Williams,,user13@example.com,555-555-5555,
100,Mike,Williams,,user19@example.com,987-654-3210,
